frame,parameter,value
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,5
1,$4002_period,479
1,$4001_sweep,0
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,4
1,$4006_period,241
1,$4005_sweep,0
1,$400A_period,480
1,$4008_linear,16
1,$400B_length,254
1,$400C_vol,0
1,$400C_const,1
1,$400E_period,3
1,$400E_mode,0
1,$4011_dac,76
1,$4012_addr,64512
1,$4013_len,177
1,$4010_rate,53
2,$4000_vol,4
4,$4000_vol,3
5,$4000_vol,2
5,$4004_vol,3
6,$4000_vol,6
6,$4002_period,1279
6,$4004_duty,1
6,$4004_vol,6
6,$4006_period,321
7,$4002_period,639
7,$4004_duty,0
7,$4004_vol,5
8,$4000_vol,5
8,$4004_vol,4
9,$4000_vol,4
11,$4000_vol,3
12,$4000_vol,2
12,$4004_vol,3
13,$4000_vol,6
13,$4004_duty,1
13,$4004_vol,6
13,$4006_period,161
14,$4002_period,319
14,$4004_duty,0
14,$4004_vol,5
15,$4000_vol,5
15,$4004_vol,4
16,$4000_vol,4
18,$4000_vol,3
19,$4000_vol,2
19,$4004_vol,3
20,$4000_vol,6
20,$4002_period,1279
20,$4004_duty,1
20,$4004_vol,6
20,$4006_period,321
21,$4002_period,639
21,$4004_duty,0
21,$4004_vol,5
22,$4000_vol,5
22,$4004_vol,4
23,$4000_vol,4
25,$4000_vol,3
26,$4000_vol,2
26,$4004_vol,3
27,$4000_vol,6
27,$4002_period,717
27,$4004_duty,1
27,$4004_vol,6
27,$4006_period,179
28,$4002_period,357
28,$4004_duty,0
28,$4004_vol,5
29,$4000_vol,5
29,$4004_vol,4
30,$4000_vol,4
32,$4000_vol,3
33,$4000_vol,2
33,$4004_vol,3
34,$4000_vol,6
34,$4002_period,1279
34,$4004_duty,1
34,$4004_vol,6
34,$4006_period,321
35,$4002_period,639
35,$4004_duty,0
35,$4004_vol,5
36,$4000_vol,5
36,$4004_vol,4
37,$4000_vol,4
39,$4000_vol,3
40,$4000_vol,2
40,$4004_vol,3
41,$4000_vol,6
41,$4002_period,805
41,$4004_duty,1
41,$4004_vol,6
41,$4006_period,201
42,$4002_period,401
42,$4004_duty,0
42,$4004_vol,5
43,$4000_vol,5
43,$4004_vol,4
44,$4000_vol,4
46,$4000_vol,3
47,$4000_vol,2
47,$4004_vol,3
48,$4000_vol,6
48,$4002_period,1279
48,$4004_duty,1
48,$4004_vol,6
48,$4006_period,321
49,$4002_period,639
49,$4004_duty,0
49,$4004_vol,5
50,$4000_vol,5
50,$4004_vol,4
51,$4000_vol,4
