frame,parameter,value
1,$4000_duty,0
1,$4000_const,0
1,$4000_vol,0
1,$4002_period,1
1,$4001_sweep,0
1,$4004_duty,0
1,$4004_const,0
1,$4004_vol,0
1,$4006_period,1
1,$4005_sweep,0
1,$400A_period,0
1,$4008_linear,0
1,$400B_length,9
1,$400C_vol,0
1,$400C_const,0
1,$400E_period,3
1,$400E_mode,0
1,$4011_dac,0
1,$4012_addr,49152
1,$4013_len,1
1,$4010_rate,427
19,$400B_length,8
292,$400B_length,9
321,$400B_length,8
328,$400B_length,6
329,$400B_length,4
330,$400B_length,2
331,$400B_length,0
332,$400B_length,9
334,$4000_duty,3
334,$4000_const,1
334,$4000_vol,8
334,$4002_period,427
334,$4004_duty,3
334,$4004_const,1
334,$4004_vol,8
334,$4006_period,719
334,$400A_period,269
334,$4008_linear,1
334,$400B_length,254
341,$4002_period,1
341,$4006_period,1
342,$4002_period,427
342,$4006_period,719
349,$4002_period,1
349,$4006_period,1
349,$400A_period,0
349,$400B_length,10
350,$4002_period,427
350,$4006_period,719
357,$4002_period,1
357,$4006_period,1
358,$4002_period,481
358,$4006_period,719
358,$400A_period,269
358,$400B_length,254
365,$4002_period,1
365,$4006_period,1
366,$4002_period,481
366,$4006_period,719
373,$4002_period,1
373,$4006_period,1
374,$4002_period,481
374,$4006_period,719
381,$4002_period,1
381,$4006_period,1
382,$4002_period,403
382,$4006_period,719
389,$4002_period,1
389,$4006_period,1
390,$4002_period,403
390,$4006_period,719
397,$4002_period,1
397,$4006_period,1
398,$4002_period,403
398,$4006_period,719
405,$4002_period,1
405,$4006_period,1
406,$4002_period,427
406,$4006_period,719
413,$4002_period,1
413,$4006_period,1
414,$4002_period,427
414,$4006_period,719
421,$4002_period,1
421,$4006_period,1
422,$4002_period,427
422,$4006_period,719
429,$4002_period,1
429,$4006_period,1
429,$400A_period,0
429,$400B_length,10
430,$4002_period,481
430,$4006_period,719
437,$4002_period,1
437,$4006_period,1
438,$4002_period,481
438,$4006_period,719
445,$4002_period,1
445,$4006_period,1
446,$4002_period,427
446,$4006_period,719
446,$400A_period,269
446,$400B_length,254
453,$4002_period,1
453,$4006_period,1
453,$400A_period,0
453,$400B_length,10
454,$4002_period,427
454,$4006_period,719
454,$400A_period,285
454,$400B_length,254
461,$4002_period,1
461,$4006_period,1
461,$400A_period,0
461,$400B_length,10
462,$4002_period,427
462,$4006_period,807
462,$400A_period,302
462,$400B_length,254
469,$4002_period,1
469,$4006_period,1
470,$4002_period,427
470,$4006_period,807
477,$4002_period,1
477,$4006_period,1
477,$400A_period,0
477,$400B_length,10
478,$4002_period,427
478,$4006_period,807
485,$4002_period,1
485,$4006_period,1
486,$4002_period,481
486,$4006_period,807
486,$400A_period,302
486,$400B_length,254
493,$4002_period,1
493,$4006_period,1
494,$4002_period,481
494,$4006_period,807
501,$4002_period,1
501,$4006_period,1
502,$4002_period,481
502,$4006_period,807
509,$4002_period,1
509,$4006_period,1
510,$4002_period,539
510,$4006_period,807
517,$4002_period,1
517,$4006_period,1
518,$4002_period,539
518,$4006_period,807
525,$4002_period,1
525,$4006_period,1
525,$400A_period,0
525,$400B_length,10
526,$4002_period,539
526,$4006_period,807
533,$4002_period,1
533,$4006_period,1
534,$4002_period,481
534,$4006_period,807
534,$400A_period,302
534,$400B_length,254
541,$4002_period,1
541,$4006_period,1
542,$4002_period,481
542,$4006_period,807
549,$4002_period,1
549,$4006_period,1
549,$400A_period,0
549,$400B_length,10
550,$4002_period,481
550,$4006_period,807
550,$400A_period,302
550,$400B_length,254
557,$4002_period,1
557,$4006_period,1
558,$4002_period,539
558,$4006_period,807
565,$4002_period,1
565,$4006_period,1
565,$400A_period,0
565,$400B_length,10
566,$4002_period,539
566,$4006_period,807
566,$400A_period,320
566,$400B_length,254
573,$4002_period,1
573,$4006_period,1
573,$400A_period,0
573,$400B_length,10
574,$4002_period,481
574,$4006_period,807
574,$400A_period,302
574,$400B_length,254
581,$4002_period,1
581,$4006_period,1
581,$400A_period,0
